src,tar,src_type,tar_type
clkbuf_0_clk_i,clkbuf_1_1_0_clk_i,cell,cell
clkbuf_0_clk_i,clkbuf_1_0_0_clk_i,cell,cell
clkbuf_1_0_0_clk_i,clkbuf_2_1_0_clk_i,cell,cell
clkbuf_1_0_0_clk_i,clkbuf_2_0_0_clk_i,cell,cell
clkbuf_1_1_0_clk_i,clkbuf_2_3_0_clk_i,cell,cell
clkbuf_1_1_0_clk_i,clkbuf_2_2_0_clk_i,cell,cell
clkbuf_2_0_0_clk_i,clkbuf_3_1_0_clk_i,cell,cell
clkbuf_2_0_0_clk_i,clkbuf_3_0_0_clk_i,cell,cell
clkbuf_2_1_0_clk_i,clkbuf_3_3_0_clk_i,cell,cell
clkbuf_2_1_0_clk_i,clkbuf_3_2_0_clk_i,cell,cell
clkbuf_2_2_0_clk_i,clkbuf_3_5_0_clk_i,cell,cell
clkbuf_2_2_0_clk_i,clkbuf_3_4_0_clk_i,cell,cell
clkbuf_2_3_0_clk_i,clkbuf_3_7_0_clk_i,cell,cell
clkbuf_2_3_0_clk_i,clkbuf_3_6_0_clk_i,cell,cell
clkbuf_3_0_0_clk_i,clkbuf_5_3_0_clk_i,cell,cell
clkbuf_3_0_0_clk_i,clkbuf_5_2_0_clk_i,cell,cell
clkbuf_3_0_0_clk_i,clkbuf_5_1_0_clk_i,cell,cell
clkbuf_3_0_0_clk_i,clkbuf_5_0_0_clk_i,cell,cell
clkbuf_3_1_0_clk_i,clkbuf_5_7_0_clk_i,cell,cell
clkbuf_3_1_0_clk_i,clkbuf_5_6_0_clk_i,cell,cell
clkbuf_3_1_0_clk_i,clkbuf_5_5_0_clk_i,cell,cell
clkbuf_3_1_0_clk_i,clkbuf_5_4_0_clk_i,cell,cell
clkbuf_3_2_0_clk_i,clkbuf_5_11_0_clk_i,cell,cell
clkbuf_3_2_0_clk_i,clkbuf_5_10_0_clk_i,cell,cell
clkbuf_3_2_0_clk_i,clkbuf_5_9_0_clk_i,cell,cell
clkbuf_3_2_0_clk_i,clkbuf_5_8_0_clk_i,cell,cell
clkbuf_3_3_0_clk_i,clkbuf_5_15_0_clk_i,cell,cell
clkbuf_3_3_0_clk_i,clkbuf_5_14_0_clk_i,cell,cell
clkbuf_3_3_0_clk_i,clkbuf_5_13_0_clk_i,cell,cell
clkbuf_3_3_0_clk_i,clkbuf_5_12_0_clk_i,cell,cell
clkbuf_3_4_0_clk_i,clkbuf_5_19_0_clk_i,cell,cell
clkbuf_3_4_0_clk_i,clkbuf_5_18_0_clk_i,cell,cell
clkbuf_3_4_0_clk_i,clkbuf_5_17_0_clk_i,cell,cell
clkbuf_3_4_0_clk_i,clkbuf_5_16_0_clk_i,cell,cell
clkbuf_3_5_0_clk_i,clkbuf_5_23_0_clk_i,cell,cell
clkbuf_3_5_0_clk_i,clkbuf_5_22_0_clk_i,cell,cell
clkbuf_3_5_0_clk_i,clkbuf_5_21_0_clk_i,cell,cell
clkbuf_3_5_0_clk_i,clkbuf_5_20_0_clk_i,cell,cell
clkbuf_3_6_0_clk_i,clkbuf_5_27_0_clk_i,cell,cell
clkbuf_3_6_0_clk_i,clkbuf_5_26_0_clk_i,cell,cell
clkbuf_3_6_0_clk_i,clkbuf_5_25_0_clk_i,cell,cell
clkbuf_3_6_0_clk_i,clkbuf_5_24_0_clk_i,cell,cell
clkbuf_3_7_0_clk_i,clkbuf_5_31_0_clk_i,cell,cell
clkbuf_3_7_0_clk_i,clkbuf_5_30_0_clk_i,cell,cell
clkbuf_3_7_0_clk_i,clkbuf_5_29_0_clk_i,cell,cell
clkbuf_3_7_0_clk_i,clkbuf_5_28_0_clk_i,cell,cell
clkbuf_5_0_0_clk_i,clkbuf_6_1__f_clk_i,cell,cell
clkbuf_5_0_0_clk_i,clkbuf_6_0__f_clk_i,cell,cell
clkbuf_5_10_0_clk_i,clkbuf_6_21__f_clk_i,cell,cell
clkbuf_5_10_0_clk_i,clkbuf_6_20__f_clk_i,cell,cell
clkbuf_5_11_0_clk_i,clkbuf_6_23__f_clk_i,cell,cell
clkbuf_5_11_0_clk_i,clkbuf_6_22__f_clk_i,cell,cell
clkbuf_5_12_0_clk_i,clkbuf_6_25__f_clk_i,cell,cell
clkbuf_5_12_0_clk_i,clkbuf_6_24__f_clk_i,cell,cell
clkbuf_5_13_0_clk_i,clkbuf_6_27__f_clk_i,cell,cell
clkbuf_5_13_0_clk_i,clkbuf_6_26__f_clk_i,cell,cell
clkbuf_5_14_0_clk_i,clkbuf_6_29__f_clk_i,cell,cell
clkbuf_5_14_0_clk_i,clkbuf_6_28__f_clk_i,cell,cell
clkbuf_5_15_0_clk_i,clkbuf_6_31__f_clk_i,cell,cell
clkbuf_5_15_0_clk_i,clkbuf_6_30__f_clk_i,cell,cell
clkbuf_5_16_0_clk_i,clkbuf_6_33__f_clk_i,cell,cell
clkbuf_5_16_0_clk_i,clkbuf_6_32__f_clk_i,cell,cell
clkbuf_5_17_0_clk_i,clkbuf_6_35__f_clk_i,cell,cell
clkbuf_5_17_0_clk_i,clkbuf_6_34__f_clk_i,cell,cell
clkbuf_5_18_0_clk_i,clkbuf_6_37__f_clk_i,cell,cell
clkbuf_5_18_0_clk_i,clkbuf_6_36__f_clk_i,cell,cell
clkbuf_5_19_0_clk_i,clkbuf_6_39__f_clk_i,cell,cell
clkbuf_5_19_0_clk_i,clkbuf_6_38__f_clk_i,cell,cell
clkbuf_5_1_0_clk_i,clkbuf_6_3__f_clk_i,cell,cell
clkbuf_5_1_0_clk_i,clkbuf_6_2__f_clk_i,cell,cell
clkbuf_5_20_0_clk_i,clkbuf_6_41__f_clk_i,cell,cell
clkbuf_5_20_0_clk_i,clkbuf_6_40__f_clk_i,cell,cell
clkbuf_5_21_0_clk_i,clkbuf_6_43__f_clk_i,cell,cell
clkbuf_5_21_0_clk_i,clkbuf_6_42__f_clk_i,cell,cell
clkbuf_5_22_0_clk_i,clkbuf_6_45__f_clk_i,cell,cell
clkbuf_5_22_0_clk_i,clkbuf_6_44__f_clk_i,cell,cell
clkbuf_5_23_0_clk_i,clkbuf_6_47__f_clk_i,cell,cell
clkbuf_5_23_0_clk_i,clkbuf_6_46__f_clk_i,cell,cell
clkbuf_5_24_0_clk_i,clkbuf_6_49__f_clk_i,cell,cell
clkbuf_5_24_0_clk_i,clkbuf_6_48__f_clk_i,cell,cell
clkbuf_5_25_0_clk_i,clkbuf_6_51__f_clk_i,cell,cell
clkbuf_5_25_0_clk_i,clkbuf_6_50__f_clk_i,cell,cell
clkbuf_5_26_0_clk_i,clkbuf_6_53__f_clk_i,cell,cell
clkbuf_5_26_0_clk_i,clkbuf_6_52__f_clk_i,cell,cell
clkbuf_5_27_0_clk_i,clkbuf_6_55__f_clk_i,cell,cell
clkbuf_5_27_0_clk_i,clkbuf_6_54__f_clk_i,cell,cell
clkbuf_5_28_0_clk_i,clkbuf_6_57__f_clk_i,cell,cell
clkbuf_5_28_0_clk_i,clkbuf_6_56__f_clk_i,cell,cell
clkbuf_5_29_0_clk_i,clkbuf_6_59__f_clk_i,cell,cell
clkbuf_5_29_0_clk_i,clkbuf_6_58__f_clk_i,cell,cell
clkbuf_5_2_0_clk_i,clkbuf_6_5__f_clk_i,cell,cell
clkbuf_5_2_0_clk_i,clkbuf_6_4__f_clk_i,cell,cell
clkbuf_5_30_0_clk_i,clkbuf_6_61__f_clk_i,cell,cell
clkbuf_5_30_0_clk_i,clkbuf_6_60__f_clk_i,cell,cell
clkbuf_5_31_0_clk_i,clkbuf_6_63__f_clk_i,cell,cell
clkbuf_5_31_0_clk_i,clkbuf_6_62__f_clk_i,cell,cell
clkbuf_5_3_0_clk_i,clkbuf_6_7__f_clk_i,cell,cell
clkbuf_5_3_0_clk_i,clkbuf_6_6__f_clk_i,cell,cell
clkbuf_5_4_0_clk_i,clkbuf_6_9__f_clk_i,cell,cell
clkbuf_5_4_0_clk_i,clkbuf_6_8__f_clk_i,cell,cell
clkbuf_5_5_0_clk_i,clkbuf_6_11__f_clk_i,cell,cell
clkbuf_5_5_0_clk_i,clkbuf_6_10__f_clk_i,cell,cell
clkbuf_5_6_0_clk_i,clkbuf_6_13__f_clk_i,cell,cell
